Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
3,6,,0.744,0.692307692,1.982199828,1.950063756,0.08,repeating,
4,4,,0.624,0.615384615,1.846935899,1.884313528,0.32,repeating,
5,8,,0.504,0.538461538,1.75091263,1.833927218,0,dead,
6,11,,0.48,0.461538462,1.71496621,1.727248606,0,dead,
7,9,,0.4,0.384615385,1.585684561,1.546593564,0,dead,
8,12,,0.392,0.307692308,1.562911582,1.352030102,0,dead,
9,5,,0.248,0.230769231,1.13247092,1.145110414,0,dead,
10,3,,0.168,0.153846154,0.752510139,0.773228349,0,dead,
11,7,,0.024,0.076923077,0.163345543,0.391243564,0,dead,
12,1,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,13,,,,,,,,
Rule:,4.23412E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.837943159,2.075869297,2.12,repeating,
1,9,,0.912,0.846153846,2.088038662,2.199687795,2,chaos,
2,11,,0.888,0.769230769,2.10348502,2.199687795,1.78,chaos,
3,3,,0.808,0.692307692,1.915350218,1.950063756,1.66,chaos,
4,4,,0.688,0.615384615,1.709047626,1.826245258,1.04,chaos,
5,2,,0.64,0.538461538,1.705662883,1.738149333,0,dead,
6,7,,0.496,0.461538462,1.566494131,1.573402452,0,dead,
7,1,,0.472,0.384615385,1.425642217,1.238901257,0,dead,
8,10,,0.424,0.307692308,1.382432609,1.140115679,0,dead,
9,6,,0.272,0.230769231,0.844319894,0.779349837,0,dead,
10,5,,0.128,0.153846154,0.551927553,0.619382195,0,dead,
11,12,,0.12,0.076923077,0.529360865,0.391243564,0,dead,
12,8,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,14,,,,,,,,
Rule:,1.14124E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.93392675,2.038159682,2.32,edge,
1,10,,0.944,0.846153846,2.076584321,2.16197818,2.565,chaos,
2,12,,0.936,0.769230769,2.090254635,2.199687795,2.04,chaos,
3,2,,0.888,0.692307692,2.135674483,2.16197818,2.015,chaos,
4,4,,0.768,0.615384615,1.997476744,2.038159682,1.73,chaos,
5,1,,0.744,0.538461538,1.882567435,1.738149333,1.35,chaos,
6,7,,0.6,0.461538462,1.882567435,1.669180337,1.54,edge,
7,5,,0.456,0.384615385,1.63962338,1.488525295,1.85,edge,
8,9,,0.376,0.307692308,1.294866429,1.140115679,1.77,edge,
9,6,,0.224,0.230769231,0.990579317,0.991264261,0,dead,
10,11,,0.2,0.153846154,0.916118214,0.773228349,0,dead,
11,3,,0.12,0.076923077,0.529360865,0.391243564,0,dead,
12,8,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,15,,,,,,,,
Rule:,4.23143E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.882074882,2.133937566,2.24,chaos,
1,2,,0.944,0.846153846,1.971108759,2.133937566,1.995,chaos,
2,5,,0.8,0.769230769,1.920409362,2.133937566,1.61,chaos,
3,10,,0.752,0.692307692,1.965988222,2.16197818,1.295,chaos,
4,7,,0.608,0.615384615,1.97629214,2.133937566,1.43,chaos,
5,1,,0.584,0.538461538,1.869875476,1.987773371,0.93,chaos,
6,9,,0.504,0.461538462,1.553731276,1.669180337,1.5,chaos,
7,8,,0.384,0.384615385,1.377922985,1.546593564,1.32,chaos,
8,11,,0.36,0.307692308,1.323871842,1.352030102,1.665,chaos,
9,4,,0.24,0.230769231,0.845642431,0.991264261,1.485,chaos,
10,3,,0.16,0.153846154,0.680133068,0.773228349,0.12,repeating,
11,12,,0.152,0.076923077,0.614822757,0.391243564,0.12,repeating,
12,6,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,16,,,,,,,,
Rule:,3.24211E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,2.016826974,2.16197818,3.22,repeating,
1,6,,0.84,0.846153846,2.266847475,2.16197818,3.6,repeating,
2,12,,0.832,0.769230769,2.270650732,2.199687795,2.755,edge,
3,7,,0.688,0.692307692,2.255827781,2.199687795,1.06,chaos,
4,3,,0.608,0.615384615,2.180285316,2.133937566,1.02,chaos,
5,5,,0.464,0.538461538,1.730296969,1.833927218,0.96,chaos,
6,9,,0.384,0.461538462,1.538830648,1.727248606,0.98,chaos,
7,1,,0.36,0.384615385,1.457293577,1.546593564,1.15,chaos,
8,4,,0.24,0.307692308,1.124068422,1.352030102,0.57,chaos,fun
9,11,,0.216,0.230769231,1.062868495,1.145110414,0.68,chaos,
10,8,,0.096,0.153846154,0.552186103,0.773228349,0.88,chaos,
11,2,,0.048,0.076923077,0.277839574,0.391243564,0,dead,
12,10,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,17,,,,,,,,
Rule:,3.33122E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.335159993,1.891995487,1.97,repeating,
1,7,,0.848,0.846153846,1.79086993,2.038159682,1.87,repeating,
2,10,,0.8,0.769230769,1.79086993,2.075869297,1.82,repeating,
3,9,,0.72,0.692307692,1.871274912,2.10390991,1.99,repeating,
4,4,,0.6,0.615384615,1.518758553,1.826245258,1.78,chaos,
5,1,,0.576,0.538461538,1.481347738,1.738149333,1.335,chaos,
6,8,,0.456,0.461538462,1.439187509,1.669180337,1.04,chaos,
7,11,,0.432,0.384615385,1.418729725,1.546593564,1.19,chaos,
8,5,,0.288,0.307692308,1.1973771,1.352030102,0.89,chaos,
9,6,,0.136,0.230769231,0.617561483,0.991264261,1.05,chaos,
10,3,,0.056,0.153846154,0.344491046,0.773228349,0,dead,
11,2,,0.008,0.076923077,0.067221545,0.391243564,0,dead,
12,12,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,18,,,,,,,,
Rule:,4.32122E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.730398337,2.038159682,2.505,chaos,
1,2,,0.944,0.846153846,1.892413559,2.133937566,2.545,chaos,
2,3,,0.864,0.769230769,2.071495498,2.199687795,2.465,chaos,
3,12,,0.856,0.692307692,2.078991089,2.16197818,2.47,chaos,
4,8,,0.736,0.615384615,2.078991089,2.038159682,1.11,edge,
5,7,,0.592,0.538461538,1.696830798,1.738149333,0.96,edge,
6,9,,0.512,0.461538462,1.671506002,1.669180337,0.93,edge,
7,6,,0.36,0.384615385,1.484779505,1.546593564,1.28,chaos,
8,11,,0.336,0.307692308,1.43522743,1.352030102,0.75,chaos,
9,4,,0.216,0.230769231,0.951147967,0.991264261,0,dead,
10,5,,0.072,0.153846154,0.373343321,0.619382195,0,dead,
11,1,,0.048,0.076923077,0.277839574,0.391243564,0,dead,
12,10,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,19,,,,,,,,
Rule:,4.23222E+11,,,,,,,,
